source_index,sample_id,scene,query,reference,type
80,医患关系-01,医患关系,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：下列行为中，哪一项不构成侵害患者隐私权？
A.未经同意向媒体公开患者的癌症检查记录
B.私下向护士讨论患者未授权披露的家庭暴力诊疗信息
C.用患者的手术照片制作科室宣传展板且在候诊区展示
D.将患者十年前在社交媒体公开发布的哮喘病史用于论文案例
【思考过程】：
",D,客观题
81,医患关系-02,医患关系,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下哪些信息属于自然人的个人信息，受到法律保护？
A.生物识别信息
B.教育背景
C.健康信息
D.喜欢的颜色
E.电话号码
【思考过程】：
",ABCE,客观题
82,医患关系-03,医患关系,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：患者因医务人员的过错在诊疗活动中受到损害，赔偿责任应由谁承担？
A.医疗机构承担
B.相关医务人员个人承担
C.医疗机构与医务人员按比例分担
D.患者自行承担
【思考过程】：
",A,客观题
83,医患关系-04,医患关系,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下哪种情形下，医务人员应当向患者的近亲属说明医疗风险并取得其明确同意？
A.患者需要接受门诊输液治疗
B.患者因昏迷无法表达意愿
C.医疗机构无法联系到患者的法定代理人
D.患者拒绝听取关于化疗替代方案的说明
【思考过程】：
",B,客观题
84,医患关系-05,医患关系,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：在因抢救生命垂危患者无法取得患者及其近亲属意见的情形下，关于医疗措施的实施程序，以下描述正确的是？
A.主治医生可自行决定实施抢救措施
B.需取得属地卫生健康部门书面批准
C.医疗机构负责人或其授权人批准后立即实施
D.经医院伦理委员会表决通过后再实施
E.需获得至少两名副高职称医师的联合签名
【思考过程】：
",C,客观题
85,医患关系-06,医患关系,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：在诊疗活动中，若患者受到损害，在哪些情形下会推定医疗机构有过错？
A.遗失病历资料
B.伪造病历资料
C.篡改病历资料
D.合法销毁病历资料
E.违法销毁病历资料
【思考过程】：
",ABCE,客观题
86,医患关系-07,医患关系,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：患者在诊疗活动中受到损害时，以下哪种情形医疗机构不承担赔偿责任？
A.患者家属拒绝签署手术同意书导致延误治疗
B.急诊抢救时医务人员已尽到合理诊疗义务
C.医疗机构未提供低收费方案导致患者无力承担
D.某种罕见病现有医学技术无法确诊
E.医生未使用国际最新疗法但符合常规治疗指南
【思考过程】：
",ABDE,客观题
87,医患关系-08,医患关系,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下哪些情形下，医疗机构对患者在诊疗活动中受到的损害不承担赔偿责任？
A.患者不配合诊疗但医疗机构存在操作过失
B.抢救呼吸衰竭患者时因设备突发故障导致并发症
C.患者家属拒绝签署手术同意书导致延误治疗
D.未向患者充分说明药物过敏风险
E.医生根据全国最新诊疗指南实施手术后仍出现并发症
F.受限于当地医疗条件无法诊断的罕见病
【思考过程】：
",CEF,客观题
88,医患关系-09,医患关系,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：在下列哪种情形下，医疗机构对患者诊疗活动中受到的损害不承担赔偿责任？
A.医疗机构拒绝向家属提供纸质病历副本
B.患者未按医嘱连续服用降压药物导致病情恶化
C.护士在静脉穿刺时未严格执行无菌操作规范
D.患者近亲属隐瞒其青霉素过敏史
【思考过程】：
",BD,客观题
89,医患关系-10,医患关系,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：下列哪项属于医疗机构必须填写并妥善保管的病历资料？
A.门诊诊断书
B.检验报告
C.入院费用明细
D.护理记录
E.门诊预约记录
【思考过程】：
",ABD,客观题
290,动物实验-01,动物实验,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下哪些属于科学技术人员在动物实验中应遵守的科学家精神或伦理规范？
A.弘扬创新与求实精神
B.在实验中默许合作方轻微捏造数据
C.参与社区祈福活动以提高实验成功率
D.坚守""利益优先""原则加速科研进程
E.严禁支持占卜测算等非科学活动
【思考过程】：
",AE,客观题
291,动物实验-02,动物实验,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：在哪些情况下，承担高风险科研项目的科学技术人员可予以免责？
A.项目未通过中期评审但有后期补救计划
B.已履行勤勉尽责义务但无法完成项目
C.取得阶段性研究成果后主动终止项目
D.能够提供完整原始记录证明其尽职
【思考过程】：
",BD,客观题
292,动物实验-03,动物实验,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：下列哪些机构应当按照国家规定建立健全科技伦理审查机制？（多选）
A.科学技术研究开发机构
B.高等学校
C.企业事业单位
D.三甲医院伦理委员会
E.科研团队负责人
【思考过程】：
",ABC,客观题
293,动物实验-04,动物实验,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：根据科研诚信相关规定，以下哪些行为不被允许？（多选）
A.虚构实验数据以支持研究结论
B.在多个研究项目中重复使用相同的实验数据
C.为他人代写实验研究数据分析报告
D.购买第三方提供的期刊代投服务
E.在论文被期刊撤稿后未公开更正错误数据
【思考过程】：
",ACD,客观题
294,动物实验-05,动物实验,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下哪个选项符合实验动物饲育及实验场所设置的法规要求？
A.饲育室与实验室分设不同楼层并安装门禁系统
B.饲育室配备先进温控设备但实验室与之共用排水系统
C.实验室和饲育室共用清洁通道但分时段使用
D.实验室每日消毒但饲育室每周消毒一次
E.设立管理制度但未形成书面操作规程
【思考过程】：
",A,客观题
295,动物实验-06,动物实验,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：根据相关法规，实验动物的饲养需要按照以下哪些因素进行分开？
A.不同来源
B.不同品种
C.不同性别
D.不同品系
E.不同实验目的
【思考过程】：
",ABDE,客观题
296,动物实验-07,动物实验,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：依据实验动物饲料管理法规，以下哪些做法是合规的？
A.使用经权威机构认证的全价饲料饲喂实验动物
B.将未清洗的胡萝卜直接投喂给实验犬
C.将轻微虫蛀但未霉变的玉米粉加工成颗粒饲料
D.对计划直接投喂的生菜进行紫外线消毒处理并冷藏保持鲜度
【思考过程】：
",AD,客观题
297,动物实验-08,动物实验,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下哪些是实验动物垫料的处理要求？
A.清洁且可降解
B.具有吸水性且无潮湿
C.无毒且无虫卵残留
D.灭菌处理且带香味
E.来源可追溯且价格低廉
【思考过程】：
",BC,客观题
298,动物实验-09,动物实验,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：当实验动物患有传染性疾病时，正确的处理措施是？
A.继续实验并监测其病情发展
B.立即销毁无需隔离
C.视情况予以销毁或隔离治疗
D.转移至普通饲养区观察
E.仅记录不采取任何行动
【思考过程】：
",C,客观题
299,动物实验-10,动物实验,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：根据我国实验动物使用相关法规，应用不合格实验动物取得的下列哪些结果会被视为无效？
A.需延长观测时间后方可使用的安全评价报告
B.药物毒理检测报告
C.疫苗制品的生产许可批件
D.经伦理委员会重新审核的科研数据
【思考过程】：
",BC,客观题
401,常规诊疗-01,常规诊疗,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：患者在诊疗活动中受到损害时，医疗机构赔偿责任成立的依据是以下哪一条件？
A.医务人员存在主观故意，B.医疗机构未完全履行合同约定，C.医疗行为与损害后果存在因果关系且存在过错，D.患者未签署全部知情同意书，E.患者在康复期间存在不遵医嘱行为
【思考过程】：
",C,客观题
402,常规诊疗-02,常规诊疗,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：在常规诊疗中，以下哪些情况需要医务人员向患者详细说明医疗风险及替代方案，并取得明确同意？
A.常规体检
B.实施手术
C.特殊检查
D.特殊治疗
E.日常药物治疗
【思考过程】：
",BCD,客观题
