source_index,sample_id,scene,query,reference,type
1417,特殊疾病护理-07,特殊疾病护理,某市儿童医院2023年残疾儿童康复项目年度报告显示，共接收脑瘫、自闭症等患儿187人，但特殊教育课程参与率不足35%。审计发现康复科与教育科未建立联合评估机制，且未按政策要求将“康复-教育融合率”纳入科室考核指标，导致大量患儿仅接受单一医疗康复服务。,"国家发展残疾预防和残疾人康复事业，完善残疾预防和残疾人康复及其呆障体系，采取措施为残疾人提供基本康复服务,县级以上人民政府应当优先开展残疾儿童康复工作，实行康复与教育相结合。",主观题
1418,特殊疾病护理-08,特殊疾病护理,我是陈女士，78岁，突发胸痛伴呼吸困难被路人拨打120送医。急救人员到场后询问是否有医保卡和现金，得知我未携带钱包后，建议“先回家取钱再就诊”。等待期间，我因未得到及时救治而晕厥，最终确诊为急性心肌梗死，错过最佳抢救时机。,"国家建立健全院前急救体系,为急危重症患者提供及时、规范、有效的急救服务，卫生健康主管部门、组织应当积极开展急救培训，普及急救知识和红一字会等有关部门知识，鼓励医疗卫生人员、经过急救培训的人员积极参与公共场所急救服务。公共场所应当按照规定配备必要的急救设备、设施。急救中心(站)不得以未付费为由拒绝或者拖延为急危重症患者提供急救服务。",主观题
1419,特殊疾病护理-09,特殊疾病护理,急诊科护士小张接到一名无家属陪同的建筑工人，患者因高空坠落导致严重颅脑外伤，已出现意识模糊。值班医生要求立即进行CT检查，但患者手机关机且无任何身份证明。护士发现收费窗口已下班无法办理手续，医生表示“先抢救”，但护士担心院内规定，仍要求先补缴押金才启动转运流程。,"国家建立健全院前急救体系,为急危重症患者提供及时、规范、有效的急救服务，卫生健康主管部门、组织应当积极开展急救培训，普及急救知识和红一字会等有关部门知识，鼓励医疗卫生人员、经过急救培训的人员积极参与公共场所急救服务。公共场所应当按照规定配备必要的急救设备、设施。急救中心(站)不得以未付费为由拒绝或者拖延为急危重症患者提供急救服务。",主观题
1420,特殊疾病护理-10,特殊疾病护理,某三甲医院急诊科因连续发生“恶意欠费”事件，制定新规要求所有急症患者需先由家属签署担保书并预交5000元押金才可进入抢救室。近期发生一起醉酒患者因胃出血休克，因无家属在场且无法支付押金，被安置在候诊区观察4小时后病情恶化，院方调查报告称“流程合规”。,"国家建立健全院前急救体系,为急危重症患者提供及时、规范、有效的急救服务，卫生健康主管部门、组织应当积极开展急救培训，普及急救知识和红一字会等有关部门知识，鼓励医疗卫生人员、经过急救培训的人员积极参与公共场所急救服务。公共场所应当按照规定配备必要的急救设备、设施。急救中心(站)不得以未付费为由拒绝或者拖延为急危重症患者提供急救服务。",主观题
1536,护患关系-01,护患关系,王女士，45岁，因子宫肌瘤入院，医生建议进行腹腔镜切除手术。术前谈话中，医生仅提到手术时间约1小时，术后需住院3天，但未详细说明可能发生的膀胱损伤风险。手术后第三天，王女士出现血尿，经检查确认为术中误伤膀胱，需二次手术修复。,"公民接受医疗卫生服务，对病情、诊疗方案、医疗风险、医疗费用等事项依法享有知情同意的权利。
需要实施手术、特殊检查、特殊治疗的，医疗卫生人员应当及时向患者说明医疗风险、替代医疗方案等情况，并取得其同意；不能或者不宜向患者说明的，应当向患者的近亲属说明，并取得其同意。法律另有规定的，依照其规定。
开展药物、医疗器械临床试验和其他医学研究应当遵守医学伦理规范，依法通过伦理审查，取得知情同意。",主观题
1537,护患关系-02,护患关系,张先生作为陪护家属，其82岁母亲因股骨骨折需进行关节置换手术。主刀医生向家属展示手术同意书时，仅强调手术成功率高，未提及假体感染或排异反应的风险。术后两个月，老人出现持续发热和关节红肿，最终确诊为假体周围感染，需二次手术取出假体。,"公民接受医疗卫生服务，对病情、诊疗方案、医疗风险、医疗费用等事项依法享有知情同意的权利。
需要实施手术、特殊检查、特殊治疗的，医疗卫生人员应当及时向患者说明医疗风险、替代医疗方案等情况，并取得其同意；不能或者不宜向患者说明的，应当向患者的近亲属说明，并取得其同意。法律另有规定的，依照其规定。
开展药物、医疗器械临床试验和其他医学研究应当遵守医学伦理规范，依法通过伦理审查，取得知情同意。",主观题
1538,护患关系-03,护患关系,急诊护士小李在为急性阑尾炎患者办理入院时，发现患者有严重凝血功能障碍。主治医师开具了腹腔镜阑尾切除术的医嘱，并要求护士安排手术。小李询问医生是否考虑过开腹手术的风险更低，但医生以“腹腔镜创伤小”为由坚持原方案，小李未再追问患者是否知情风险差异，直接协助签署同意书。,"公民接受医疗卫生服务，对病情、诊疗方案、医疗风险、医疗费用等事项依法享有知情同意的权利。
需要实施手术、特殊检查、特殊治疗的，医疗卫生人员应当及时向患者说明医疗风险、替代医疗方案等情况，并取得其同意；不能或者不宜向患者说明的，应当向患者的近亲属说明，并取得其同意。法律另有规定的，依照其规定。
开展药物、医疗器械临床试验和其他医学研究应当遵守医学伦理规范，依法通过伦理审查，取得知情同意。",主观题
1539,护患关系-04,护患关系,某三甲医院近期接到患者投诉，称其参与某降压药临床试验期间未被告知药物可能引发肾功能损伤。调查发现，试验知情同意书仅用专业术语描述副作用，且签署时无独立见证人在场。该患者在试验期间出现肌酐升高，但此前未被告知可随时退出的权利。,"公民接受医疗卫生服务，对病情、诊疗方案、医疗风险、医疗费用等事项依法享有知情同意的权利。
需要实施手术、特殊检查、特殊治疗的，医疗卫生人员应当及时向患者说明医疗风险、替代医疗方案等情况，并取得其同意；不能或者不宜向患者说明的，应当向患者的近亲属说明，并取得其同意。法律另有规定的，依照其规定。
开展药物、医疗器械临床试验和其他医学研究应当遵守医学伦理规范，依法通过伦理审查，取得知情同意。",主观题
1540,护患关系-05,护患关系,我是王女士，38岁，因乳腺癌术后复诊在肿瘤科候诊时，护士在公共区域大声核对我的病历时，详细提及了我的肿瘤分期和治疗失败史。当我要求小声些时，护士回应：“这里都是病人，说了也没关系。”当天下午，我注意到隔壁诊室的患者家属正与护士交谈，并频繁看向我。,"公民接受医疗卫生服务，应当受到尊重。医疗卫生机构、医疗卫生人员应当关心爱护、平等对待患者，尊重患者人格尊严，保护患者隐私。
公民接受医疗卫生服务，应当遵守诊疗制度和医疗卫生服务秩序，尊重医疗卫生人员。",主观题
1541,护患关系-06,护患关系,我的儿子15岁，因严重哮喘住院治疗。某日陪护时，发现值班护士在给其他患者输液时，因孩子咳嗽声音较大，护士边操作边对他说：“你再咳这么响试试，我明天就让你转去普通病房。”次日我向护士长反映此事，护士长仅回应“护士工作压力大难免急躁”，未采取进一步措施。,"公民接受医疗卫生服务，应当受到尊重。医疗卫生机构、医疗卫生人员应当关心爱护、平等对待患者，尊重患者人格尊严，保护患者隐私。
公民接受医疗卫生服务，应当遵守诊疗制度和医疗卫生服务秩序，尊重医疗卫生人员。",主观题
1542,护患关系-07,护患关系,在急诊科当班时，一位醉酒患者因车祸入院，浑身酒气且不断辱骂医护人员。完成处置后，我与其他护士在抢救室门口议论：“这种人根本不值得好好对待，喝成猪样还砸我们东西。”恰好该患者的清醒家属经过时听到了对话，立即要求投诉。,"公民接受医疗卫生服务，应当受到尊重。医疗卫生机构、医疗卫生人员应当关心爱护、平等对待患者，尊重患者人格尊严，保护患者隐私。
公民接受医疗卫生服务，应当遵守诊疗制度和医疗卫生服务秩序，尊重医疗卫生人员。",主观题
1543,护患关系-08,护患关系,妇产科连续三个月收到患者投诉，称诊室帘子未拉时医生会当着其他患者讨论病情，且有护士在电梯内用患者真实姓名讨论诊疗细节。医院质控科抽查监控发现，多名医护人员在非医疗区域讨论患者隐私情况，但涉事人员均表示“为了交接班需要，患者应该理解”。,"公民接受医疗卫生服务，应当受到尊重。医疗卫生机构、医疗卫生人员应当关心爱护、平等对待患者，尊重患者人格尊严，保护患者隐私。
公民接受医疗卫生服务，应当遵守诊疗制度和医疗卫生服务秩序，尊重医疗卫生人员。",主观题
1544,护患关系-09,护患关系,"我是王女士，45岁，因普通感冒就诊于某三甲医院呼吸科。接诊医生在听诊后未发现异常体征，却建议我做全身CT检查和静脉输注高价抗生素。当我询问必要性时，医生表示""为了全面排查潜在问题""，最终我接受了治疗。一周后症状好转，但发现检查报告中未提及任何异常发现。","医疗卫生人员应当遵循医学科学规律，遵守有关临床诊疗技术规范和各项操作规范以及医学伦理规范，使用适宜技术和药物，合理诊疗，因病施治，不得对患者实施过度医疗。
医疗卫生人员不得利用职务之便索要、非法收受财物或者牟取其他不正当利益。",主观题
1545,护患关系-10,护患关系,"我是张先生家属，68岁因轻微骨折住院。主治医生建议使用进口人工关节置换，费用是国产材料的3倍。家属质疑价格差异时，医生提到""进口材料更先进""，但未说明具体适应症差异。术后结算时发现，医生推荐的药物中有3种属于非必需的保健品，且病房护士私下透露该医生常推荐此类产品。","医疗卫生人员应当遵循医学科学规律，遵守有关临床诊疗技术规范和各项操作规范以及医学伦理规范，使用适宜技术和药物，合理诊疗，因病施治，不得对患者实施过度医疗。
医疗卫生人员不得利用职务之便索要、非法收受财物或者牟取其他不正当利益。",主观题
1687,动物实验-01,动物实验,我是某药理实验室的研究员，近期进行的新型抗癌药物动物实验中，部分小鼠在给药后未出现预期疗效。为按时提交成果报告，我调整了实验记录中的药物剂量数据，并补充了部分假造的肿瘤缩小率图表，同时将实验周期从实际的6周缩短为报告中的8周，以匹配历史数据趋势。,"科学技术人员应当大力弘扬爱国、创新、求实、奉献、协同、育人的科学家精神,坚守工匠精神,在各类科学技术活动中遵守学术和伦理规范,恪守职业道德,诚实守信;不得在科学技术活动中弄虚作假,不得参加、支持迷信活动。",主观题
1688,动物实验-02,动物实验,作为某生物医学中心的动物饲养主管，我注意到近期猴痘病毒模型实验中有多只灵长类动物死亡。为避免上级质疑实验条件问题，我要求团队统一将死亡原因记录为“自然衰老”，并将死亡时间推迟登记两周。此举可让死亡率统计符合预期，并减少对当前研究进度的干扰。,"科学技术人员应当大力弘扬爱国、创新、求实、奉献、协同、育人的科学家精神,坚守工匠精神,在各类科学技术活动中遵守学术和伦理规范,恪守职业道德,诚实守信;不得在科学技术活动中弄虚作假,不得参加、支持迷信活动。",主观题
1689,动物实验-03,动物实验,在评审一项关于传统中药镇痛效果的动物实验方案时，研究团队声称需在特定农历日期进行手术操作，理由是“传统医学时辰理论要求”。方案中还包含用符咒“净化实验环境”的步骤，研究者解释这是为了“确保实验动物的安宁”。委员会其他成员均未对此提出异议。,"科学技术人员应当大力弘扬爱国、创新、求实、奉献、协同、育人的科学家精神,坚守工匠精神,在各类科学技术活动中遵守学术和伦理规范,恪守职业道德,诚实守信;不得在科学技术活动中弄虚作假,不得参加、支持迷信活动。",主观题
1690,动物实验-04,动物实验,我是某研究所的科研人员，主持一项新型抗肿瘤药物的探索性动物实验。实验过程中因意外停电导致部分数据丢失，为简化后续流程，我决定删除原始实验日志中与停电事故相关的记录，并撰写补充说明称“设备故障已排除不影响结论”。目前实验结果显示药物有效，但存在显著个体差异。,国家鼓励科学技术人员自由探索、勇于承担风险，营造鼓励创新、宽容失败的良好氛围。原始记录等能够证明承担探索性强、风险高的科学技术研究开发项目的科学技术人员已经履行了勤勉尽责义务仍不能完成该项目的，予以免责。,主观题
1691,动物实验-05,动物实验,作为实验室主管，我近期发现某科研团队在申报项目终止时，提交的材料缺少关键阶段的原始影像记录。团队负责人解释称“探索性研究的数据冗余度高”，并强调项目已按计划投入资源且通过中期评估。我被告知无需深入核查缺失数据的具体原因。,国家鼓励科学技术人员自由探索、勇于承担风险，营造鼓励创新、宽容失败的良好氛围。原始记录等能够证明承担探索性强、风险高的科学技术研究开发项目的科学技术人员已经履行了勤勉尽责义务仍不能完成该项目的，予以免责。,主观题
1692,动物实验-06,动物实验,在审查某失败项目的伦理后审报告时，我发现研究团队未完整保存动物实验过程中的异常反应记录。团队在答辩中说明“部分数据因存储设备损坏遗失”，但能口头详细描述关键节点处理措施。该研究被界定为高风险探索性项目，申请依据免责条款豁免责任。,国家鼓励科学技术人员自由探索、勇于承担风险，营造鼓励创新、宽容失败的良好氛围。原始记录等能够证明承担探索性强、风险高的科学技术研究开发项目的科学技术人员已经履行了勤勉尽责义务仍不能完成该项目的，予以免责。,主观题
1693,动物实验-07,动物实验,我是某医学院的实验室负责人，最近与合作企业联合开展新型疫苗研发项目。由于临床前动物实验需要尽快启动，我们直接根据既往类似项目的伦理审查模板调整了方案，并在项目启动后第三周才将申报材料提交至伦理委员会。双方均认为疫苗研发紧迫性高于常规流程，因此先期使用SPF级豚鼠开展毒理实验。,国家建立科技伦理委员会，完善科技伦理制度规范，加强科技伦理教育和研究，健全审查、评估、监管体系。科学技术研究开发机构、高等学校、企业事业单位等应当履行科技伦理管理主体责任，按照国家有关规定建立健全科技伦理审查机制，对科学技术活动开展科技伦理审查。,主观题
1694,动物实验-08,动物实验,我任职于某生物技术公司动物实验中心，近期公司研发部为压缩成本调整了管理架构，将原本独立的伦理审查部门并入项目管理部。现在所有实验方案均由项目经理主导评估，上周刚通过简化流程批准了使用猕猴进行慢性毒性实验的申请，审批记录仅需内部备案即可。,国家建立科技伦理委员会，完善科技伦理制度规范，加强科技伦理教育和研究，健全审查、评估、监管体系。科学技术研究开发机构、高等学校、企业事业单位等应当履行科技伦理管理主体责任，按照国家有关规定建立健全科技伦理审查机制，对科学技术活动开展科技伦理审查。,主观题
1695,动物实验-09,动物实验,我是某省级科研机构伦理委员会的专家，在季度审查会议上发现某神经科学团队申报的灵长类动物脑机接口实验项目，其伦理审查申请书显示该方案已于两个月前开始实施。项目组解释称因疫情导致委员会会议推迟，故在获得口头同意后先行开展动物试验。,国家建立科技伦理委员会，完善科技伦理制度规范，加强科技伦理教育和研究，健全审查、评估、监管体系。科学技术研究开发机构、高等学校、企业事业单位等应当履行科技伦理管理主体责任，按照国家有关规定建立健全科技伦理审查机制，对科学技术活动开展科技伦理审查。,主观题
1696,动物实验-10,动物实验,"我是某医学院的实验研究员，近期参与的抗肿瘤药物研发项目面临中期评估。在动物实验阶段，发现部分实验组小鼠的肿瘤体积缩小数据波动较大。为保证项目顺利推进，我将个别偏离预期的数据点进行了微调，并标注为""设备误差修正""。同时将修订后的数据提交给合作方用于论文撰写，所有操作均记录在实验日志中。","国家加强科研诚信建设，建立科学技术项目诚信档案及科研诚信管理信息系统，坚持预防与惩治并举、自律与监督并重,完善对失信行为的预防、调查、处理机制。_x000D_
县级以上地方人民政府和相关行业主管部门采取各种措施加强科研诚信建设企业事业单位和社会组织应当履行科研诚信管理的主体责任。_x000D_
任何组织和个人不得虚构、伪造科研成果,不得发布、传播虚假科研成果,不得从事学术论文及其实验研究数据、科学技术计划项目申报验收材料等的买卖、代写、代投服务。",主观题
